"id"	"name"	"sndx"
	"DOVE"	
	"BRENT"	
	"MARGARET"	
	"ALENE"	
	"MURRAY"	
	"LAKEVIEW"	
	"LAKEVIEW 1"	
	"LAKEVIEW 2"	
	"LAKEVIEW 3"	
	"LAKEVIEW 4"	
25171	"NANCY LOU"	"NNSL"
25172	"FM 1162"	"FM"
25173	"GIBSON"	"KPSN"
25174	"WENDEL"	"ANTL"
25175	"MYATT"	"MT"
25176	"AVE H"	"AF"
25177	"BAILEY"	"PL"
25178	"WASHINGTON"	"AXNK"
25179	"HEIGHTS"	"HTS"
25180	"CR 400"	"KR"
25181	"AVE E"	"AF"
25182	"CHERYL"	"XRL"
25183	"WESTMOOR"	"ASTM"
25184	"SONATA"	"SNT"
25185	"WILLIE"	"AL"
25186	"5TH"	0
25187	"DABNEY"	"TPN"
25188	"MICHAEL"	"MKL"
25189	"JESSE"	"JS"
25190	"2ND"	"NT"
25191	"YUPON"	"APN"
25192	"MARY"	"MR"
25193	"FM 2765"	"FM"
25194	"COTTON"	"KTN"
25195	"GARCIA"	"KRS"
25196	"MEMORIAL"	"MMRL"
25197	"FM 1163"	"FM"
25198	"DORIS"	"TRS"
25199	"LIBERTY"	"LPRT"
25200	"PALM"	"PLM"
25201	"GREELY"	"KRL"
25202	"NORRIS"	"NRS"
25203	"EMERALD"	"AMRL"
25204	"CR 355"	"KR"
25205	"JULIUS"	"JLS"
25206	"CR 360"	"KR"
25207	"KEY"	"K"
25208	"7TH"	0
25209	"CLARA"	"KLR"
25210	"BRIAR"	"PRR"
25211	"MEADOW CREEK"	"MTKR"
25212	"ALICE"	"ALS"
25213	"WAYNE"	"AN"
25214	"FM 1300"	"FM"
25215	"REBE SUE"	"RPS"
25216	"FM 441"	"FM"
25217	"TOWN AND COUNTRY"	"TNNT"
25218	"SUE"	"S"
25219	"ALAMO"	"ALM"
25220	"CR 454"	"KR"
25221	"DUCKETT"	"TKT"
25222	"HUTCHINS"	"HXNS"
25223	"CHAPEL"	"XPL"
25224	"FLORA"	"FLR"
25225	"LAUREL"	"LRL"
25226	"NEWPORT"	"NPRT"
25227	"APPLING"	"APLN"
25228	"CR 385"	"KR"
25229	"FOERSTER"	"FRST"
25230	"FRELS"	"FRLS"
25231	"ADELL"	"ATL"
25232	"BRAVO"	"PRF"
25233	"WILLIS"	"ALS"
25234	"RICE"	"RS"
25235	"GARDEN"	"KRTN"
25236	"WAY"	"A"
25237	"LAMAR"	"LMR"
25238	"RITA"	"RT"
25239	"ST LUKES"	"STLK"
25240	"BROOK BEND"	"PRKP"
25241	"SAM"	"SM"
25242	"DEL NORTE"	"TLNR"
25243	"LINNWOOD"	"LNT"
25244	"CORN"	"KRN"
25245	"TAYLOR"	"TLR"
25246	"LOOP 526"	"LP"
25247	"PRAIRIE SWITCH"	"PRRS"
25248	"TALLOW"	"TL"
25249	"TINA"	"TN"
25250	"BELLMAN"	"PLMN"
25251	"CR 340"	"KR"
25252	"RUTH"	"R0"
25253	"DUNLAP"	"TNLP"
25254	"ALFRED"	"ALFR"
25255	"JULIA"	"JL"
25256	"LILLY"	"LL"
25257	"PALACIOS"	"PLSS"
25258	"DONALD"	"TNLT"
25259	"HILLJE"	"HL"
25260	"HEFNER"	"HFNR"
25261	"CENTER"	"SNTR"
25262	"KAYLA"	"KL"
25263	"BURDETTE"	"PRTT"
25264	"CR 451"	"KR"
25265	"LYNNER"	"LNR"
25266	"MEADOW"	"MT"
25267	"8TH"	0
25268	"FAHRENTHOLD"	"FRN0"
25269	"PAYNE"	"PN"
25270	"TUREK"	"TRK"
