"id","animal_id","name","value","created_at","updated_at"
"4202621","21819835","Coat Color DNA","ED/ED (homozygous black)","2014-07-21 21:35:47 -0500","2014-07-21 21:35:47 -0500"
"4202624","21818383","Coat Color DNA","ED/ED (homozygous black)","2014-07-21 21:37:57 -0500","2014-07-21 21:37:57 -0500"
"4202627","21818413","Coat Color DNA","ED/ED (homozygous black)","2014-07-21 21:38:28 -0500","2014-07-21 21:38:28 -0500"
"4202630","21818440","Coat Color DNA","ED/ED (homozygous black)","2014-07-21 21:39:05 -0500","2014-07-21 21:39:05 -0500"
"4202633","21818455","Coat Color DNA","ED/ED (homozygous black)","2014-07-21 21:39:34 -0500","2014-07-21 21:39:34 -0500"
"4202636","21819703","Coat Color DNA","ED/e (red carrier)","2014-07-21 21:42:43 -0500","2014-07-21 21:42:43 -0500"
"4202639","21819892","Coat Color DNA","ED/e (red carrier)","2014-07-21 21:46:03 -0500","2014-07-21 21:46:03 -0500"
"4202642","21819877","Coat Color DNA","ED/e (red carrier)","2014-07-21 21:46:33 -0500","2014-07-21 21:46:33 -0500"
"4202645","21819886","Coat Color DNA","ED/e (red carrier)","2014-07-21 21:47:01 -0500","2014-07-21 21:47:01 -0500"
"4202648","21819760","Coat Color DNA","ED/e (red carrier)","2014-07-21 21:47:28 -0500","2014-07-21 21:47:28 -0500"
"4202651","21819781","Coat Color DNA","ED/ED (homozygous black)","2014-07-21 21:48:15 -0500","2014-07-21 21:48:15 -0500"
"4202654","21905323","Coat Color DNA","Not Tested","2014-07-21 21:49:28 -0500","2014-07-21 21:49:28 -0500"
"4202657","21819736","Coat Color DNA","ED/e (red carrier)","2014-07-21 21:50:26 -0500","2014-07-21 21:50:26 -0500"
"4202660","21888790","Coat Color DNA","ED/e (red carrier)","2014-07-21 21:53:43 -0500","2015-07-17 17:55:56 -0500"
"4349627","22741778","Coat Color DNA","ED/ED (homozygous black)","2014-09-04 08:18:50 -0500","2014-09-04 08:18:50 -0500"
