"id","animal_id","note_date","category","note_details","created_at","updated_at","attachment","attachment_content_type","attachment_file_size"
"1535521","19610802","2014-01-22","","Has large front quarter teats.  Bags full, but no sign of calf.","2014-01-22 12:36:44 -0600","2014-01-22 12:38:34 -0600","","",""
"1535524","19610805","2014-01-21","","Large front teats.  Bags full, but no sign of calf","2014-01-22 12:37:58 -0600","2014-01-22 12:37:58 -0600","","",""
"1535527","19727674","2014-01-22","","Missing tag.  Needs new tag in existing hole","2014-01-22 12:42:31 -0600","2014-01-22 12:42:31 -0600","","",""
"1535683","20493550","2014-01-23","","Add Z to ear tag to denote 2012 birth year","2014-01-23 14:21:41 -0600","2014-01-23 14:22:10 -0600","","",""
"1535686","20493553","2014-01-23","","Add Z to ear tag to denote 2012 birth year","2014-01-23 14:22:56 -0600","2014-01-23 14:22:56 -0600","","",""
"1535689","20493472","2014-01-23","","Add Z to ear tag to denote 2012 birth year","2014-01-23 14:23:49 -0600","2014-01-23 14:23:49 -0600","","",""
"1535692","20493625","2014-01-23","","Horned yellow cow add and note tag in left ear","2014-01-23 14:35:39 -0600","2014-01-23 14:37:30 -0600","","",""
"1535701","20486326","2014-01-23","","Needs a tag ""11/A42S","2014-01-23 15:00:32 -0600","2014-01-23 15:00:32 -0600","","",""
"1535704","20456755","2014-01-23","","Add Z to the existing tag to denote 2012 YOB","2014-01-23 15:15:08 -0600","2014-01-23 15:15:08 -0600","","",""
"1536793","19610808","2014-01-26","","Twins dead, both bull calves","2014-01-26 14:11:39 -0600","2014-01-26 14:11:39 -0600","","",""
"1565657","19610922","2014-03-19","","BCS 5 with calf on ground","2014-03-19 16:39:31 -0500","2014-03-19 16:39:31 -0500","","",""
"1565660","19610808","2014-03-18","Re-tagged","189 -> 250 lost tag","2014-03-19 16:41:01 -0500","2014-03-19 16:41:01 -0500","","",""
"2092910","21905323","2015-01-28","Fertility Exam","Motility: 80%
Morphology: 85%","2015-01-29 07:54:57 -0600","2015-01-29 07:54:57 -0600","CCF01292015.pdf","application/pdf","2236543"
"2185550","21818440","2015-05-06","Fertility Exam","","2015-05-09 09:03:45 -0500","2015-05-09 09:03:45 -0500","img002.pdf","application/pdf","757313"
"2272576","24384251","2015-07-13","DNA Color Coat ","","2015-07-17 17:47:26 -0500","2015-07-17 17:47:26 -0500","Genetic_Visions.pdf","application/pdf","73141"
"2272579","24289280","2015-07-13","DNA Color Coat ","","2015-07-17 17:48:09 -0500","2015-07-17 17:48:09 -0500","Genetic_Visions.pdf","application/pdf","73141"
"2272582","24289271","2015-07-13","DNA Color Coat ","","2015-07-17 17:48:29 -0500","2015-07-17 17:48:29 -0500","Genetic_Visions.pdf","application/pdf","73141"
"2272585","24299582","2015-07-13","DNA Color Coat ","","2015-07-17 17:48:53 -0500","2015-07-17 17:48:53 -0500","Genetic_Visions.pdf","application/pdf","73141"
"2272588","24414197","2015-07-13","DNA Color Coat ","","2015-07-17 17:49:20 -0500","2015-07-17 17:49:20 -0500","Genetic_Visions.pdf","application/pdf","73141"
"2272591","24503801","2015-07-13","DNA Color Coat ","","2015-07-17 17:49:44 -0500","2015-07-17 17:49:44 -0500","Genetic_Visions.pdf","application/pdf","73141"
"2272594","24487511","2015-07-13","DNA Color Coat ","","2015-07-17 17:50:09 -0500","2015-07-17 17:50:09 -0500","Genetic_Visions.pdf","application/pdf","73141"
"2272597","23204553","2015-06-11","DNA Color Coat ","","2015-07-17 17:52:03 -0500","2015-07-17 17:52:03 -0500","1-4w_Genetic_Visions.pdf","application/pdf","71732"
"2272600","23394207","2015-06-11","DNA Color Coat ","","2015-07-17 17:52:37 -0500","2015-07-17 17:52:37 -0500","1-4w_Genetic_Visions.pdf","application/pdf","71732"
"2272603","23911661","2015-06-11","DNA Color Coat ","","2015-07-17 17:53:12 -0500","2015-07-17 17:53:12 -0500","1-4w_Genetic_Visions.pdf","application/pdf","71732"
"2272606","23204550","2015-06-11","DNA Color Coat ","","2015-07-17 17:53:43 -0500","2015-07-17 17:53:43 -0500","1-4w_Genetic_Visions.pdf","application/pdf","71732"
"2272612","21888790","2015-06-15","DNA Color Coat ","","2015-07-17 17:56:40 -0500","2015-07-17 17:56:40 -0500","236_Genetic_Visions.pdf","application/pdf","70461"
