"id","animal_id","photo_date","category","primary_photo","photo","photo_content_type","photo_file_size","comments","created_at","updated_at"
"520288","19610808","2014-01-23","","true","ZOE_0027.jpg","image/jpeg","435199","","2014-01-23 14:00:23 -0600","2014-01-23 14:00:23 -0600"
"520291","20493472","","","false","","","","","2014-01-23 14:12:06 -0600","2014-01-23 14:12:06 -0600"
"520297","20493472","2014-01-23","","true","ZOE_0026.jpg","image/jpeg","219037","","2014-01-23 14:15:08 -0600","2014-01-23 14:15:08 -0600"
"520300","19610907","2014-01-23","","true","ZOE_0025.jpg","image/jpeg","889257","","2014-01-23 14:26:21 -0600","2014-01-23 14:26:21 -0600"
"520303","19610922","2014-01-23","","true","ZOE_0023.jpg","image/jpeg","534083","","2014-01-23 14:27:35 -0600","2014-01-23 14:27:35 -0600"
"520306","20493601","2014-01-23","","true","ZOE_0022.jpg","image/jpeg","468389","","2014-01-23 14:32:19 -0600","2014-01-23 14:32:19 -0600"
"520312","20493625","2014-01-23","","true","ZOE_0021.jpg","image/jpeg","520852","","2014-01-23 14:35:00 -0600","2014-01-23 14:35:00 -0600"
"520321","20493667","2014-01-23","","true","ZOE_0020.jpg","image/jpeg","448984","","2014-01-23 14:40:09 -0600","2014-01-23 14:40:09 -0600"
"520330","20493706","2014-01-23","","true","ZOE_0018.jpg","image/jpeg","421303","","2014-01-23 14:56:07 -0600","2014-01-23 14:56:07 -0600"
"520336","19610778","2014-01-23","","true","ZOE_0017.jpg","image/jpeg","523291","","2014-01-23 14:57:31 -0600","2014-01-23 14:57:31 -0600"
"520339","20486326","2014-01-23","","true","ZOE_0016.jpg","image/jpeg","770332","","2014-01-23 15:03:12 -0600","2014-01-23 15:03:12 -0600"
"520345","19610787","2014-01-23","","true","ZOE_0014.jpg","image/jpeg","341529","","2014-01-23 15:08:24 -0600","2014-01-23 15:08:24 -0600"
"522373","19692256","2014-01-30","","false","DSC_0123.JPG","image/jpeg","1138788","","2014-01-30 17:05:56 -0600","2014-01-30 17:05:56 -0600"
"522379","19692256","2014-01-30","","true","DSC_0122.JPG","image/jpeg","2541659","Has Calf","2014-01-30 17:06:46 -0600","2014-01-30 17:06:46 -0600"
"522382","19610760","2014-01-30","","true","DSC_0124.JPG","image/jpeg","2726490","","2014-01-30 17:08:23 -0600","2014-01-30 17:08:23 -0600"
"522385","20469046","2014-01-30","","true","DSC_0130.JPG","image/jpeg","2333529","Just had 1st calf","2014-01-30 17:09:47 -0600","2014-01-30 17:09:47 -0600"
"523660","19610913","2014-02-08","","true","IMAG0187.jpg","image/jpeg","1254259","Tatoo","2014-02-08 08:50:28 -0600","2014-02-08 08:50:28 -0600"
"523663","19721602","2014-02-08","","true","IMAG0180__1_.jpg","image/jpeg","248360","","2014-02-08 08:56:37 -0600","2014-02-08 08:56:37 -0600"
"528998","20493550","2014-02-28","","true","DSC_0161.JPG","image/jpeg","3205084","","2014-02-28 17:52:36 -0600","2014-02-28 17:52:36 -0600"
"529001","19610787","2014-02-28","","false","DSC_0121.JPG","image/jpeg","2603920","","2014-02-28 17:59:37 -0600","2014-02-28 17:59:37 -0600"
"529004","20469037","2014-01-30","","true","DSC_0128.JPG","image/jpeg","2658788","","2014-02-28 18:02:15 -0600","2014-02-28 18:02:15 -0600"
"550912","21818455","2014-04-29","calf","true","IMAG0021.jpg","image/jpeg","491808","1 week after delivery","2014-04-29 19:12:16 -0500","2014-04-29 19:12:16 -0500"
"550933","21819703","2014-04-29","","true","IMAG0020.jpg","image/jpeg","425017","","2014-04-29 22:08:48 -0500","2014-04-29 22:08:48 -0500"
"550939","21819760","2014-04-29","","true","IMAG0018.jpg","image/jpeg","926824","","2014-04-29 22:16:20 -0500","2014-04-29 22:16:20 -0500"
"550942","21819781","2014-04-29","","true","IMAG0012.jpg","image/jpeg","826856","","2014-04-29 22:20:00 -0500","2014-04-29 22:20:00 -0500"
"550945","21819781","2014-04-29","","true","IMAG0011.jpg","image/jpeg","635435","","2014-04-29 22:22:00 -0500","2014-04-29 22:22:00 -0500"
"550948","21819835","2014-04-29","","true","IMAG0013.jpg","image/jpeg","593221","","2014-04-29 22:24:36 -0500","2014-04-29 22:24:36 -0500"
