"id","account_id","legacy_id","ear_tag","ear_tag_loc","tattoo_left","tattoo_right","brand","brand_loc","name","ph_number","ph_number_loc","reg_num","reg_num_2","other_id","other_id_loc","electronic_id","animal_type","sex","category_id","breed_id","horn_status","color_markings","ocv_tattoo","ocv_number","status","pasture_id","sire_animal_id","dam_animal_id","genetic_dam_animal_id","real_dam_animal_id","sire_legacy_id","dam_legacy_id","genetic_dam_legacy_id","breeder_contact_id","birth_date","weaning_date","yearling_date","percent_dam_weight","conception_method","grafted_calf","purchase_date","purchased","purchased_from_contact_id","purchase_price","sale_ticket_id","sale_price","sale_weight","marketing_cost","reason_for_sale","death_date","cause_of_death","asking_price","marketing_comments","mppa","avg_calving_interval","avg_post_partum_interval","last_breeding_date","last_calving_date","current_breeding_status","next_calving_date","pelvic_area","pelvic_horizontal","pelvic_vertical","comments","donor_cow","ai_bull","promote_date","demote_date","birth_weight","weaning_weight","yearling_weight","adj_birth_weight","adj_weaning_weight","adj_yearling_weight","last_tip_to_tip","last_total_horn","last_base","last_composite","last_horn_measure_date","last_weight","last_height","last_bcs","last_weight_date","created_at","updated_at","embryo_recovery_date","nait_number","nlis_number","last_treatment_date","withdrawal_date","castration_date","next_booster_date","breeding_id","pelvic_measure_date","embryo_transfer_date"
"19607058","48210","","16-YELLOW","LE","","","","","","","","","","74QJK4196","Brucellosis","","Cow","Heifer","","953208","Dehorned","Solid Grey","","","Sold","","","","","","","","","1344102","2013-07-01","","","","NS","false","2013-09-26","true","1344102","400.0","964401","809.4","1065","36.67","Poor Breeder","","","","","","","","2016-02-03","","","","","","","","false","false","","","","","","","","","","","","","","","","","","2013-11-11 09:13:06 -0600","2016-04-27 14:44:40 -0500","","","","2015-10-23","","","","","",""
"19607064","48210","","None","","","","","","","","","","","","","","Cow","Heifer","","953208","","","","","Dead","","","","","","","","","1344102","2013-04-01","","","","NS","false","2013-09-26","true","1344102","600.0","","","","","","2013-10-28","Put Down - Swamp Cancer","","","","","","","","","","","","","","false","false","","","","","","","","","","","","","","","","","","2013-11-11 09:15:22 -0600","2013-11-11 09:15:22 -0600","","","","","","","","","",""
"19610760","48210","","24-YELLOW","LE","","","8055","","","","","","","72VTD9865","Brucellosis","982000374771599","Cow","Heifer","","953829","Polled","Solid Black","","","Active","443994","","","","","","","","1344327","2008-06-01","","","","NS","false","2012-05-19","true","1344330","2380.0","","","","","","","","","","","590","305","2018-02-04","2015-04-14","Exposed","2018-09-21","","","","Cow/Calf pair purchase.  Retagged 167-24yellow","false","false","","","","","","","","","","","","","","","","","","2013-11-12 09:12:39 -0600","2018-02-05 09:27:28 -0600","","","","2016-07-30","","","","","",""
"19610778","48210","","18-YELLOW","LE","","","814","LR","","","","","","72BBE4968","Brucellosis","982000374772190","Cow","Heifer","","953829","","Solid Black","","","Active","403501","","","","","","","","1344327","2008-06-01","","","","NS","false","2012-05-19","true","1344330","2380.0","","","","","","","","","","","563","278","2018-03-01","2018-03-01","Open","","","","","Cow/Calf pair purchase","false","false","","","","","","","","","","","","","","","","","","2013-11-12 09:17:32 -0600","2018-04-22 06:41:33 -0500","","","","2016-07-30","","","","","",""
"19610787","48210","","154-WHITE","LE","","","822","LR","","","","","","72BBE4961","","982000374772194","Cow","Heifer","","953829","","Solid Black","","","Active","403501","","","","","","","","1344327","2008-06-01","","","","NS","false","2012-05-19","true","1344330","2380.0","","","","","","","","","","","521","236","2017-12-10","2017-02-10","Exposed","2018-09-21","","","","Cow/Calf pair purchase","false","false","","","","","","","","","","","","","","","","","","2013-11-12 09:19:08 -0600","2018-01-24 09:32:57 -0600","","","","2016-07-30","","","","","",""
"19610796","48210","","21-YELLOW","LE","","","","","","","","","","72VSJ1173","Brucellosis","982000374771587","Cow","Heifer","","953829","","Solid Black","","","Active","403501","","","","","","","","1344327","2009-06-01","","","","NS","false","2012-05-19","true","1344330","2380.0","","","","","","","","","","102.4","398","113","2017-12-10","2016-03-31","Exposed","2018-09-21","","","","Cow/Calf pair purchase","false","false","","","","","","","","","","","","","","","","","","2013-11-12 09:20:32 -0600","2018-01-24 09:32:57 -0600","","","","2016-07-30","","","","","",""
"19610802","48210","","212-WHITE","LE","","","828","LR","","","","","","72BBE4959","Brucellosis","982000374771585","Cow","Heifer","","953829","","Solid Black","","","Active","403501","","","","","","","","1344327","2008-06-01","","","","NS","false","2012-05-19","true","1344330","2380.0","","","","","","","","","","106.0","376","91","2017-12-10","2017-02-19","Exposed","2018-09-21","","","","Cow/Calf pair purchase.
Bad disposition leaving chute","false","false","","","","","","","","","","","","","","","","","","2013-11-12 09:21:30 -0600","2018-01-24 09:32:57 -0600","","","","2016-07-30","","","","","",""
"19610805","48210","","22-YELLOW","LE","","","","","","","","","","8421J4QBQ","Brucellosis","982000374772176","Cow","Heifer","","953829","","Solid Black","","","Sold","","","","","","","","","1344327","2009-06-01","","","","NS","false","2012-05-19","true","1344330","2380.0","1094778","737.1","1170","39.36","","","","","","","371","86","2017-02-07","2017-02-08","","","","","","Cow/Calf pair purchase","false","false","","","","","","","","","","","","","","","","","","2013-11-12 09:22:50 -0600","2017-05-02 18:06:18 -0500","","","","2016-07-30","","","","","",""
"19610808","48210","","250-YELLOW","LE","","","8174","LR","","","","","","72VTD9379","","982000374772193","Cow","Heifer","","953829","","","","","Active","443994","","","","","","","","1344327","2008-06-01","","","","NS","false","2012-05-19","true","1344330","2380.0","","","","","","","","","","104.4","448","163","2018-02-04","2017-10-01","Exposed","2018-09-21","","","","Cow/Calf pair purchase
Bad disposition leaving chute","false","false","","","","","","","","","","","","","","","","","","2013-11-12 09:24:20 -0600","2018-02-05 09:27:28 -0600","","","","2016-07-30","","","","","",""
"19610898","48210","","784S4-YELLOW","LE","","","ZR","LH","ZR MS BT 784S4","","","R10056359","","","","982000373732046","Cow","Heifer","","953211","Polled","Solid Black","","","Active","403501","","","","","","","","1344339","2006-09-16","","","","NS","false","2012-08-31","true","1344339","1000.0","","","","","","","","","","96.8","381","96","2017-12-10","2017-03-13","Exposed","2018-09-21","","","","10/19/16 missing ear tag","false","false","","","","","","","","","","","","","","","","","","2013-11-12 09:32:10 -0600","2018-01-24 09:32:57 -0600","","","","2016-07-30","","","","","",""
