"id","animal_id","bull_animal_id","breeding_method","breeding_date","breeding_end_date","days_exposed","estimated_calving_date","cleanup","embryo_id","embryo_cl_side","cleanup_breeding_id","comments","archived","archive_code","estimation_type","archive_reference_id","pregnancy_check_id","created_at","updated_at","technician"
"11894083","19692244","","NS","2013-03-08","","","2013-12-18","false","","","","","true","U","B","","","2013-11-18 09:19:07 -0600","2014-03-18 19:09:13 -0500",""
"11894086","19692250","","NS","2013-03-08","","","2013-12-18","true","","","","","true","T","B","","","2013-11-18 09:20:06 -0600","2014-11-24 22:28:50 -0600",""
"11894089","19610916","19698700","NS","2013-04-01","","","2014-01-11","false","","","","","true","P","B","20509927","","2013-11-18 09:21:52 -0600","2014-01-26 14:13:06 -0600",""
"11894092","19610913","19698700","NS","2013-04-01","","","2014-01-11","false","","","","","true","T","B","","","2013-11-18 09:22:45 -0600","2014-11-24 22:32:12 -0600",""
"11894095","19610778","19698700","NS","2013-04-01","","","2014-01-11","false","","","","","true","P","B","19721599","","2013-11-18 09:23:47 -0600","2013-11-19 07:07:41 -0600",""
"11894098","19610787","19698700","NS","2013-04-01","","","2014-01-11","false","","","","","true","U","B","","","2013-11-18 09:24:32 -0600","2014-03-18 19:09:09 -0500",""
"11894101","19610760","19698700","NS","2013-04-01","","","2014-01-11","false","","","","","true","P","B","20486311","","2013-11-18 09:25:08 -0600","2014-01-22 12:35:43 -0600",""
"11894104","19610796","19698700","NS","2013-04-01","","","2014-01-11","false","","","","","true","U","B","","","2013-11-18 09:25:33 -0600","2014-01-30 18:14:04 -0600",""
"11894110","19610802","19698700","NS","2013-04-01","","","2014-01-11","false","","","","","true","P","B","20456704","","2013-11-18 09:27:01 -0600","2014-01-17 16:47:00 -0600",""
"11894113","19610805","19698700","NS","2013-04-01","","","2014-01-11","false","","","","","true","P","B","20509942","","2013-11-18 09:27:28 -0600","2014-01-26 14:16:58 -0600",""
"11894116","19610808","19698700","NS","2013-04-01","","","2014-01-11","false","","","","","true","P","B","20551093","","2013-11-18 09:28:02 -0600","2014-01-30 17:20:46 -0600",""
"11912959","19727668","19698700","NS","2013-04-01","","","2014-01-11","false","","","","","true","T","B","","","2013-11-21 05:53:47 -0600","2014-11-24 22:32:42 -0600",""
"11912962","19727674","19698700","NS","2013-04-01","","","2014-01-11","false","","","","","true","P","B","21003830","","2013-11-21 05:55:59 -0600","2014-03-03 06:54:38 -0600",""
"12954134","20493553","19698700","NS","2014-03-18","","","2014-12-28","false","","","","Moved to RL's place","true","P","B","22319252","","2014-03-18 17:43:12 -0500","2014-07-04 07:43:54 -0500",""
"12954137","20493550","19698700","NS","2014-03-18","","","2015-02-06","false","","","","Moved to RL's Place","true","P","P","24138989","3799055","2014-03-18 17:43:46 -0500","2014-12-20 19:06:26 -0600",""
"12954143","20493472","19698700","NS","2014-03-18","","","2015-01-21","false","","","","Moved to RL's Place","true","P","P","24258131","3896693","2014-03-18 17:44:16 -0500","2015-01-03 11:11:52 -0600",""
"13326367","21819703","21867619","NS","2014-04-01","2014-04-21","20","2015-01-11","false","","","","Exposed at Char-Maine","true","P","P","24289271","3799046","2014-05-05 10:39:26 -0500","2015-01-06 07:53:21 -0600",""
"13326370","21819736","21867619","NS","2014-04-01","2014-04-21","20","2015-01-11","false","","","","Exposed at Char-Maine","true","P","P","24289280","3799067","2014-05-05 10:39:26 -0500","2015-01-06 07:55:39 -0600",""
