"id","account_id","name","gestation_period","legacy_id","breed_association_id","created_at","updated_at"
"953202","48210","Angus","285","","2","2013-11-11 09:04:59 -0600","2016-05-04 17:57:52 -0500"
"953205","48210","Beefmaster","285","","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600"
"953208","48210","Brahman","285","","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600"
"953211","48210","Brangus","285","","26","2013-11-11 09:04:59 -0600","2014-01-23 19:06:45 -0600"
"953214","48210","Braunvieh","285","","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600"
"953217","48210","Charolais","289","","","2013-11-11 09:04:59 -0600","2014-11-21 14:28:32 -0600"
"953220","48210","Gelbvieh","285","","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600"
"953223","48210","Hereford","285","","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600"
"953226","48210","Highland","285","","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600"
"953229","48210","Limousin","285","","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600"
"953232","48210","Maine-Anjou","285","","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600"
"953235","48210","Red Angus","285","","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600"
"953238","48210","Santa Gertrudis","285","","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600"
"953241","48210","Shorthorn","285","","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600"
"953244","48210","Simbrah","285","","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600"
"953247","48210","Simmental","285","","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600"
"953250","48210","Texas Longhorn","285","","","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600"
"953829","48210","Brangus F1","285","","26","2013-11-12 09:10:14 -0600","2014-01-23 19:07:50 -0600"
"958480","48210","Commercial","285","","","2013-11-19 07:09:26 -0600","2013-11-19 07:09:26 -0600"
"1114888","48210","Black Charolais","285","","","2014-05-29 20:49:18 -0500","2014-05-29 20:49:18 -0500"
"1741416","48210","Braford","285","","","2016-10-27 17:29:58 -0500","2016-10-27 17:29:58 -0500"
"2143565","48210","Charbray","285","","","2018-04-22 06:28:57 -0500","2018-04-22 06:28:57 -0500"
