Animal Ear Tag	Animal Current Breeding Status	Animal Current Breeding Status	Animal Last Breeding Date	Breeding End Date	Breeding Date	Animal Last Calving Date	Breeding Method	Days Exposed	Estimated Calving Date	Embryo Mating	Sire Ear Tag
1orange	Pregnant	Pregnant	2014-06-27		2014-06-27	2014-06-12	NS		2015-04-24		1white
2orange	Pregnant	Pregnant	2014-06-27		2014-06-27	2014-06-24	NS		2015-04-29		1white
2Y	Open	Open	2014-06-27		2014-06-10	2014-02-12	ET		2015-03-15	MAIN 33A x MAIN 831U	
2Y	Open	Open	2014-06-27		2014-06-27	2014-02-12	NS		2015-04-08		1white
3orange	Pregnant	Pregnant	2014-06-27		2014-06-27	2014-06-17	NS		2015-05-04		1white
4orange	Open	Open	2014-06-27		2014-06-27	2014-08-12	NS		2015-04-08		1white
5orange	Pregnant	Pregnant	2014-06-27		2014-06-27	2014-06-21	NS		2015-05-09		1white
6orange	Pregnant	Pregnant	2014-06-27		2014-06-27		NS		2015-04-19		1white
7orange	Pregnant	Pregnant	2014-06-27		2014-06-27	2014-01-18	NS		2015-04-29		1white
8orange	Pregnant	Pregnant	2014-06-27		2014-06-10		ET		2015-03-15	MAIN 33A x MAIN 846U	
8orange	Pregnant	Pregnant	2014-06-27		2014-06-27		NS		2015-04-08		1white
9orange	Pregnant	Pregnant	2014-07-01		2014-07-01		ET		2015-04-05	MAIN 33A x MAIN 846U	
9orange	Pregnant	Pregnant	2014-07-01		2014-07-01		NS		2015-04-12		1white
10orange	Pregnant	Pregnant	2014-07-15		2014-07-15		NS		2015-04-24		1white
11orange	Open	Open	2014-07-01		2014-07-01		ET		2015-04-05	MAIN 33A x MAIN 831U	
11orange	Open	Open	2014-07-01		2014-07-01		NS		2015-04-12		1white
12orange	Pregnant	Pregnant	2014-06-27		2014-06-27		NS		2015-04-29		1white
14orange	Pregnant	Pregnant	2014-06-27		2014-06-27		NS		2015-04-24		1white
15orange	Open	Open	2014-06-27		2014-06-27	2014-05-01	NS		2015-04-08		1white
16orange	Exposed	Exposed	2014-07-03		2014-07-03		NS		2015-04-14		RL Shelley Black Angus
17orange	Pregnant	Pregnant	2014-07-03		2014-07-03		NS		2015-05-09		RL Shelley Black Angus
17R3	Open	Open	2014-06-27		2013-03-08	2014-02-06	NS		2013-12-18		
17R3	Open	Open	2014-06-27		2014-06-27	2014-02-06	NS		2015-04-08		1white
17U			2014-06-27		2014-06-27		NS		2015-04-08		1white
17U			2014-06-27		2013-03-08		NS		2013-12-18		
