Ear Tag	Breed	Birth Date	Current Breeding Status	Custom Fields	Last Calving Date	Last Breeding Date	Next Calving Date
1orange	Commercial		Pregnant		2014-06-12	2014-06-27	2015-04-24
2orange	Commercial		Pregnant		2014-06-24	2014-06-27	2015-04-29
3orange	Commercial		Pregnant		2014-06-17	2014-06-27	2015-05-04
4orange	Commercial		Open		2014-08-12	2014-06-27	
5 Yellow Butler	Commercial	2012-08-01	Open				
5orange	Commercial		Pregnant		2014-06-21	2014-06-27	2015-05-09
5yellow	Commercial	2011-08-01	Open				
6orange	Commercial		Pregnant			2014-06-27	2015-04-19
7orange	Commercial	2012-01-01	Pregnant		2014-01-18	2014-06-27	2015-04-29
8orange	Commercial		Pregnant			2014-06-27	2015-03-15
8yellow	Commercial	2010-08-01	Open				
9orange	Commercial	2010-10-01	Pregnant			2014-07-01	2015-04-05
9yellow	Commercial	2010-08-01	Open				
10orange	Commercial		Pregnant			2014-07-15	2015-04-24
10yellow butler	Commercial	2012-08-01	Open				
11orange	Commercial	2007-10-01	Open			2014-07-01	
11yellow	Commercial		Open				
12orange	Commercial		Pregnant			2014-06-27	2015-04-29
14orange	Commercial		Pregnant			2014-06-27	2015-04-24
15orange	Commercial		Open		2014-05-01	2014-06-27	
16orange	Commercial	2013-01-02	Exposed			2014-07-03	2015-04-14
17orange	Commercial	2013-02-01	Pregnant			2014-07-03	2015-05-09
17yellow	Commercial	2006-01-01	Pregnant		2014-01-31	2014-06-27	2015-04-24
20yellow	Commercial	2012-01-01	Open		2014-02-22	2014-06-27	
31yellow	Commercial	2010-06-01	Pregnant		2014-02-28	2014-06-27	2015-03-15
37yellow	Commercial	2001-09-01	Pregnant		2014-01-26	2014-07-01	2015-04-05
42yellow	Commercial		Pregnant		2014-01-29	2014-06-27	2015-03-15
50yellow	Commercial	2005-06-01	Open		2014-01-31	2014-06-27	
51yellow	Commercial	2012-11-01	Pregnant		2014-05-01	2014-06-27	2015-05-03
52yellow	Commercial	2012-11-01	Pregnant			2014-03-18	2015-02-06
167Z	Commercial	2012-01-01	Pregnant		2014-01-15	2014-06-27	2015-04-24
333yellow	Commercial		Open		2014-09-26	2014-06-27	
Blank-Yellow	Commercial	2012-11-01	Pregnant			2014-03-18	2015-01-21
18yellow	Brangus F1	2008-06-01	Exposed		2013-11-17	2014-06-27	2015-03-15
154	Brangus F1	2008-06-01	Open		2014-04-05	2014-07-01	
167-missing tag	Brangus F1	2008-06-01	Pregnant		2013-09-01	2014-06-27	2015-03-15
180-missing tag	Brangus F1	2009-06-01	Pregnant		2014-01-25	2014-06-27	2015-03-15
188yellow	Brangus F1	2009-06-01	Pregnant		2014-01-22	2014-06-27	2015-04-29
212	Brangus F1	2008-06-01	Pregnant		2014-01-17	2014-06-27	2015-03-15
243	Brangus F1	2009-06-01	Pregnant		2014-01-25	2014-07-01	2015-04-05
250yellow	Brangus F1	2008-06-01	Pregnant		2014-01-26	2014-06-27	2015-03-15
JS 372A	Charolais	2013-02-10	Pregnant	Breeding Form: FLUSH | Coat Color DNA: ED/ED (homozygous black)		2014-04-21	2015-01-11
JS 386A	Charolais	2013-03-02	Pregnant	Breeding Form: AI | Coat Color DNA: ED/e (red carrier)		2014-04-21	2015-01-11
LCL 236Z	Charolais	2012-03-15	Pregnant	Breeding Form: AI | Coat Color DNA: Not Tested	2014-02-01	2014-06-24	2015-04-05
MAIN 1014X	Charolais	2010-01-22	Open	Breeding Form: FLUSH | Coat Color DNA: ED/ED (homozygous black)	2014-10-14		
MAIN 106Y	Charolais	2011-01-03	Pregnant	Breeding Form: FLUSH | Coat Color DNA: ED/ED (homozygous black)	2014-01-12	2014-04-14	2015-01-04
MAIN 126Y	Charolais	2011-01-23	Open	Breeding Form: AI | Coat Color DNA: ED/ED (homozygous black)	2014-03-09	2014-06-24	
MAIN 246Z	Charolais	2012-02-07	Open	Breeding Form: FLUSH | Coat Color DNA: ED/ED (homozygous black)	2014-10-15		
MAIN 247Z	Charolais	2012-02-07	Pregnant	Breeding Form: FLUSH | Coat Color DNA: ED/ED (homozygous black)		2014-04-14	2015-01-21
MAIN 248Z	Charolais	2012-02-12	Open	Breeding Form: AI | Coat Color DNA: ED/e (red carrier)	2014-10-15		
MAIN 264Z	Charolais	2012-03-03	Pregnant	Breeding Form: FLUSH | Coat Color DNA: ED/ED (homozygous black)		2014-03-14	2014-11-23
MAIN 301A	Charolais	2013-01-01	Pregnant	Breeding Form: AI | Coat Color DNA: ED/e (red carrier)		2014-04-21	2015-01-11
MAIN 308A	Charolais	2013-01-03	Pregnant	Breeding Form: AI | Coat Color DNA: ED/e (red carrier)		2014-04-21	2015-01-11
MAIN 309A	Charolais	2013-01-03	Pregnant	Breeding Form: AI | Coat Color DNA: ED/e (red carrier)		2014-04-21	2015-01-11
MAIN 326A	Charolais	2013-01-09	Open	Breeding Form: AI | Coat Color DNA: ED/e (red carrier)		2014-04-20	
MAIN 332A	Charolais	2013-01-13	Pregnant	Breeding Form: FLUSH | Coat Color DNA: ED/ED (homozygous black)		2014-04-21	2015-01-11
MAIN 345A	Charolais	2013-02-27	Pregnant	Breeding Form: AI | Coat Color DNA: ED/e (red carrier)		2014-04-21	2015-01-11
2Y	Brangus	2011-04-15	Open		2014-02-12	2014-06-27	
17R3	Brangus	2005-09-03	Open		2014-02-06	2014-06-27	
17U	Brangus	2008-09-04				2014-06-27	
19yellow	Brangus	2006-09-29	Open		2014-01-25	2014-06-27	
23Z	Brangus	2012-10-10	Pregnant			2014-07-03	2015-05-17
42S2	Brangus	2006-01-31				2014-07-15	
42Y	Brangus		Pregnant		2014-01-29	2014-07-01	2015-04-05
47S	Brangus	2006-10-23	Open		2013-11-01	2014-07-01	
47S1	Brangus	2006-10-30	Pregnant		2014-01-26	2014-06-27	2015-03-15
232	Brangus		Exposed			2014-06-27	2015-04-08
698Y	Brangus	2012-04-14	Open		2014-10-03	2014-06-27	
784S4	Brangus	2006-09-16	Pregnant		2014-01-26	2014-06-27	2015-03-15
None	Brahman	2013-04-01					
