"id","animal_id","reporting_period","status","ced_epd","bw_epd","ww_epd","yw_epd","yh_epd","cem_epd","milk_epd","tm_epd","mww_epd","radg_epd","mw_epd","mh_epd","mg_epd","me_epd","sc_epd","hpg_epd","stay_epd","doc_epd","cw_epd","marb_epd","rea_epd","fat_epd","yg_epd","shear_epd","imf_epd","rump_epd","tend_epd","rp_epd","gl_epd","ced_acc","bw_acc","ww_acc","yw_acc","yh_acc","cem_acc","milk_acc","tm_acc","mww_acc","radg_acc","mw_acc","mh_acc","mg_acc","me_acc","sc_acc","hpg_acc","stay_acc","doc_acc","cw_acc","marb_acc","rea_acc","fat_acc","yg_acc","shear_acc","imf_acc","rump_acc","tend_acc","rp_acc","gl_acc","en_idx","w_idx","f_idx","g_idx","yg_idx","b_idx","bmi_idx","cez_idx","bii_idx","chb_idx","ap_idx","t_idx","mt_idx","qg_idx","dtf_epd","dtf_acc","cv_idx","carcass_idx","growth_idx","maternal_idx","udder_epd","udder_acc","teat_epd","teat_acc","dmi_epd","dmi_acc","scf_epd","scf_acc"
"4429406","19610922","Spring 2014","PE","4.5","1.0","13.9","30.2","","8.9","8.8","15.7","","","","","","","0.7","","","","","","0.08","0.01","","","-0.09","","","","","0.29","0.4","0.32","0.3","","0.22","0.23","","","","","","","","0.17","","","","","","0.32","0.31","","","0.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4429409","19692256","Spring 2014","","3.8","2.2","35.9","61.8","","5.6","15.5","33.4","","","","","","","0.7","","","","","","0.51","-0.02","","","-0.08","","","","","0.35","0.39","0.34","0.33","","0.29","0.37","","","","","","","","0.18","","","","","","0.34","0.33","","","0.27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4429412","19692244","Spring 2014","","2.2","2.6","20.6","40.8","","8.0","11.1","21.4","","","","","","","0.4","","","","","","0.38","0.0","","","-0.02","","","","","0.21","0.35","0.22","0.18","","0.13","0.17","","","","","","","","0.1","","","","","","0.16","0.16","","","0.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4429415","20493667","Spring 2014","","-5.8","7.0","42.7","68.4","","7.5","13.4","34.7","","","","","","","0.6","","","","","","0.44","-0.01","","","-0.03","","","","","0.21","0.32","0.27","0.27","","0.12","0.12","","","","","","","","0.11","","","","","","0.29","0.28","","","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4623781","21888790","Spring 2014","Act","","2.1","37.0","75.0","","","17.5","36.0","","","","","","","","","","","","0.58","0.33","0.1","","","","","","","","",".11",".09",".06","","",".05",".06","","","","","","","","","","","",".05",".05",".05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4689112","22160740","Spring 2014","PE","86.0","0.4","42.0","80.0","","","22.2","43.0","","","","","","","","","","","15.0","-0.06","0.43","0.21","","","","","","","",".13",".34",".08",".05","","",".03",".05","","","","","","","","","","",".05",".05",".05",".05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4689115","22160830","Spring 2014","PE","82.0","0.4","27.0","53.0","","","18.9","33.0","","","","","","","","","","","6.0","-0.17","28.0","-0.48","","","","","","","",".2",".4",".21",".12","","",".09",".13","","","","","","","","","","",".05",".05",".05",".06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4710653","21818383","Spring 2014","PE","72.0","1.4","40.0","76.0","","","19.0","39.0","","","","","","","","","","","15.0","-0.17","0.39","-0.02","","","","","","","",".15",".35",".12",".07","","",".05",".07","","","","","","","","","","",".06",".05",".05",".05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4710656","21818413","Spring 2014","PE","77.0","0.9","40.0","74.0","","","18.6","38.0","","","","","","","","","","","13.0","-0.33","0.39","0.06","","","","","","","","PE","PE","PE","PE","","","PE","PE","","","","","","","","","","","PE","PE","PE","PE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4710659","21819892","Spring 2014","PE","79.0","0.6","46.0","89.0","","","22.8","46.0","","","","","","","","","","","19.0","0.04","0.48","0.39","","","","","","","","PE","PE","PE","PE","","","PE","PE","","","","","","","","","","","PE","PE","PE","PE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
