"id","account_id","legacy_id","name","sort_by","sort_direction","smart_group","grid_columns","grid_filters","description","groupings_count","archived","view_as","created_at","updated_at","animals_not_found","year","season","breed_association_id","note"
"631968","48210","","Active Bulls","breed_id","asc","true","[""ear_tag"", ""electronic_id"", ""breed_id"", ""pasture_id"", ""birth_date""]","{""status_eq""=>""Active"", ""animal_type_eq""=>""Bull"", ""sex_eq""=>"""", ""category_id_eq""=>"""", ""pasture_id_eq""=>"""", ""breed_id_eq""=>"""", ""current_breeding_status_eq""=>"""", ""color_markings_eq""=>"""", ""horn_status_eq""=>"""", ""groupings_group_id_eq""=>"""", ""ownerships_contact_id_eq""=>"""", ""birth_date_gteq""=>"""", ""birth_date_lteq""=>"""", ""conception_method_eq""=>"""", ""weaning_date_not_null""=>"""", ""weaning_date_null""=>"""", ""weaning_date_gteq""=>"""", ""weaning_date_lteq""=>"""", ""breeder_contact_id_eq""=>"""", ""purchased_eq""=>"""", ""purchase_date_gteq""=>"""", ""purchase_date_lteq""=>"""", ""sale_ticket_sale_date_gteq""=>"""", ""sale_ticket_sale_date_lteq""=>"""", ""sire_animal_id_eq""=>"""", ""dam_animal_id_eq""=>""""}","","","false","1","2013-11-11 09:04:59 -0600","2017-04-14 08:11:37 -0500","","","","",""
"631971","48210","","Active Calves","birth_date","asc","true","[""ear_tag"", ""sex"", ""color_markings"", ""status"", ""birth_date""]","{""status_eq""=>""Active"", ""animal_type_eq""=>""Calf"", ""sex_eq""=>"""", ""category_id_eq""=>"""", ""pasture_id_eq""=>"""", ""breed_id_eq""=>"""", ""current_breeding_status_eq""=>"""", ""color_markings_eq""=>"""", ""horn_status_eq""=>"""", ""groupings_group_id_eq""=>"""", ""ownerships_contact_id_eq""=>"""", ""birth_date_gteq""=>""2016-11-01"", ""birth_date_lteq""=>"""", ""conception_method_eq""=>"""", ""weaning_date_not_null""=>"""", ""weaning_date_null""=>"""", ""weaning_date_gteq""=>"""", ""weaning_date_lteq""=>"""", ""breeder_contact_id_eq""=>"""", ""purchased_eq""=>""false"", ""purchase_date_gteq""=>"""", ""purchase_date_lteq""=>"""", ""sale_ticket_sale_date_gteq""=>"""", ""sale_ticket_sale_date_lteq""=>"""", ""sire_animal_id_eq""=>"""", ""dam_animal_id_eq""=>""""}","","","false","1","2013-11-11 09:04:59 -0600","2017-09-24 14:46:05 -0500","","","","",""
"631974","48210","","Open Cattle","category_id","asc","true","[""ear_tag"", ""animal_type"", ""breed_id"", ""birth_date"", ""current_breeding_status"", ""next_calving_date""]","{""status_eq""=>""Active"", ""animal_type_eq""=>""Cow""}","","","false","1","2013-11-11 09:04:59 -0600","2015-10-25 12:04:32 -0500","","","","",""
"631980","48210","","All Cattle","animal_type","asc","true","[""ear_tag"", ""animal_type"", ""category_id"", ""breed_id"", ""pasture_id"", ""birth_date""]","{""status_eq""=>""Active"", ""animal_type_eq""=>"""", ""sex_eq""=>"""", ""category_id_eq""=>"""", ""pasture_id_eq""=>"""", ""breed_id_eq""=>"""", ""current_breeding_status_eq""=>"""", ""color_markings_eq""=>"""", ""horn_status_eq""=>"""", ""groupings_group_id_eq""=>"""", ""ownerships_contact_id_eq""=>"""", ""birth_date_gteq""=>"""", ""birth_date_lteq""=>"""", ""conception_method_eq""=>"""", ""weaning_date_not_null""=>"""", ""weaning_date_null""=>"""", ""weaning_date_gteq""=>"""", ""weaning_date_lteq""=>"""", ""breeder_contact_id_eq""=>""1448671"", ""purchased_eq""=>"""", ""purchase_date_gteq""=>"""", ""purchase_date_lteq""=>""2014-12-31"", ""sale_ticket_sale_date_gteq""=>"""", ""sale_ticket_sale_date_lteq""=>"""", ""sire_animal_id_eq""=>"""", ""dam_animal_id_eq""=>""""}","","","false","1","2013-11-11 09:04:59 -0600","2018-04-17 13:11:05 -0500","","","","",""
"631983","48210","","Purchased Cattle","purchase_date","desc","true","[""ear_tag"", ""animal_type"", ""purchase_date"", ""purchased_from_contact_id"", ""purchase_price""]","{""status_eq""=>""Active"", ""purchased_eq""=>""true""}","","","false","1","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600","","","","",""
"631986","48210","","Replacements","weaning_date","desc","true","[""ear_tag"", ""category_id"", ""birth_date"", ""pasture_id""]","{""status_eq""=>""Active"", ""animal_type_eq""=>""Calf"", ""sex_eq""=>""Heifer"", ""weaning_date_present""=>""true""}","","","false","1","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600","","","","",""
"631989","48210","","Sold Cattle","ear_tag","desc","true","[""ear_tag"", ""category_id"", ""breed_id"", ""birth_date"", ""reason_for_sale""]","{""status_eq""=>""Sold""}","","","false","1","2013-11-11 09:04:59 -0600","2014-03-18 17:56:44 -0500","","","","",""
"631992","48210","","Unweaned Calves","birth_date","desc","true","[""ear_tag"", ""sex"", ""birth_date"", ""dam_ear_tag""]","{""status_eq""=>""Active"", ""animal_type_eq""=>""Calf"", ""weaning_date_blank""=>""true""}","","","false","1","2013-11-11 09:04:59 -0600","2013-11-11 09:04:59 -0600","","","","",""
"732838","48210","","ET Recipient Candidates - June 10","breed_id","asc","false","[""ear_tag"", ""breed_id"", ""color_markings"", ""comments"", ""age_in_years"", ""photo"", ""calf_ear_tag""]","","","27","false","1","2014-05-24 06:26:48 -0500","2016-10-24 10:34:43 -0500","","","","",""
"733147","48210","","Active Cows","current_breeding_status","asc","true","[""ear_tag"", ""electronic_id"", ""category_id"", ""pasture_id"", ""birth_date"", ""current_breeding_status""]","{""status_eq""=>""Active"", ""animal_type_eq""=>""Cow"", ""sex_eq""=>"""", ""category_id_eq""=>"""", ""pasture_id_eq""=>"""", ""breed_id_eq""=>"""", ""current_breeding_status_eq""=>"""", ""color_markings_eq""=>"""", ""horn_status_eq""=>"""", ""groupings_group_id_eq""=>"""", ""ownerships_contact_id_eq""=>"""", ""birth_date_gteq""=>"""", ""birth_date_lteq""=>"""", ""conception_method_eq""=>"""", ""weaning_date_not_null""=>"""", ""weaning_date_null""=>"""", ""weaning_date_gteq""=>"""", ""weaning_date_lteq""=>"""", ""breeder_contact_id_eq""=>"""", ""purchased_eq""=>"""", ""purchase_date_gteq""=>"""", ""purchase_date_lteq""=>"""", ""sale_ticket_sale_date_gteq""=>"""", ""sale_ticket_sale_date_lteq""=>"""", ""sire_animal_id_eq""=>"""", ""dam_animal_id_eq""=>""""}","","","false","1","2014-05-25 07:17:46 -0500","2016-10-24 07:09:28 -0500","","","","",""
