"id","animal_id","category","measure_date","age_at_measure","weight","adjusted_weight","ratio","adg","adg_ratio","wda","wda_ratio","bcs","height","adjusted_height","frame_score","scrotal","adjusted_scrotal","reference_date","reference_weight","gain","contemporaries","contemporary_group","comments","created_at","updated_at","rank","wda_rank","adg_rank"
"25004497","20456704","Birth","2014-01-17","0","64","64","","","","","","","","","","","","","","","","","","2014-01-17 16:47:00 -0600","2014-01-17 16:47:00 -0600","","",""
"25009249","20469037","Birth","2014-01-18","0","80","88","","","","","","","","","","","","","","","","","","2014-01-21 12:28:58 -0600","2014-01-21 12:31:56 -0600","","",""
"25149490","20611504","Birth","2014-02-06","0","83","83","","","","","","","","","","","","","","","","","","2014-02-06 11:51:03 -0600","2014-02-06 11:51:03 -0600","","",""
"26369017","21818440","Birth","2014-03-09","0","92","97","","","","","","","","","","","","","","","","","","2014-04-29 19:01:46 -0500","2014-07-21 21:39:05 -0500","","",""
"26819122","22166200","Birth","2014-06-12","0","60","","","","","","","","","","","","","","","","","","","2014-06-16 12:35:36 -0500","2014-06-16 12:35:36 -0500","","",""
"26849209","22227118","Birth","2014-06-21","0","60","","","","","","","","","","","","","","","","","","","2014-06-23 06:38:35 -0500","2014-08-17 08:57:19 -0500","","",""
"26862341","22248044","Birth","2014-06-24","0","60","","","","","","","","","","","","","","","","","","","2014-06-25 07:28:56 -0500","2014-06-25 07:28:56 -0500","","",""
"26917517","19610922","Birth","2011-04-15","0","77","","","","","","","","","","","","","","","","","","","2014-07-09 06:03:43 -0500","2014-07-09 06:03:43 -0500","","",""
"26917520","19610922","Weaning","2011-11-05","204","585","","","2.49","","2.87","","","","","","","","2011-04-15","77","508","","","","2014-07-09 06:03:43 -0500","2014-07-09 06:03:43 -0500","","",""
"26917523","19610922","Yearling","2012-03-15","335","879","","","2.24","","2.62","","","","","","","","2011-11-05","585","294","","","","2014-07-09 06:03:43 -0500","2014-07-09 06:03:43 -0500","","",""
"26917526","19610922","Ultrasound Scan","2012-03-15","335","879","","","","","2.62","","","","","","","","","","","","","","2014-07-09 06:05:47 -0500","2014-07-09 06:05:47 -0500","","",""
