"id","animal_id","moved_from_pasture_id","moved_to_pasture_id","movement_date"
"38326951","19692244","0","310702","2014-01-27"
"38326954","19692250","0","310702","2013-11-16"
"39690476","19692244","310702","","2014-03-18"
"39690479","19692250","310702","","2014-03-18"
"40734034","21818383","0","327829","2014-04-26"
"40734058","21818413","0","327829","2014-04-26"
"40734121","21818440","0","327829","2014-04-26"
"40734142","21818455","0","327829","2014-04-26"
"40737106","21819703","0","327829","2014-04-26"
"40737136","21819736","0","327829","2014-04-26"
"40737163","21819760","0","327829","2014-04-26"
"40737172","21819781","0","327829","2014-04-26"
"40737196","21819835","0","327829","2014-04-26"
"40737226","21819877","0","327829","2014-04-26"
"40737232","21819886","0","327829","2014-04-26"
"40737238","21819892","0","327829","2014-04-26"
"40925659","21888790","0","328918","2014-04-28"
"40946569","21905323","0","327829","2013-12-13"
"41381668","21818455","327829","328918","2014-05-16"
"41381671","21818383","327829","328918","2014-05-16"
"41381674","21818440","327829","328918","2014-05-16"
"41381677","21818413","327829","328918","2014-05-16"
"41381680","21818440","327829","328918","2014-05-16"
"41381683","21818455","327829","328918","2014-05-16"
"41381686","21819703","327829","328918","2014-05-16"
"41381689","21819736","327829","328918","2014-05-16"
"41381692","21819760","327829","328918","2014-05-16"
"41381695","21819781","327829","328918","2014-05-16"
"41381698","21819835","327829","328918","2014-05-16"
"41381701","21819877","327829","328918","2014-05-16"
"41381704","21819886","327829","328918","2014-05-16"
"41381707","21819892","327829","328918","2014-05-16"
"41381710","21905323","327829","328918","2014-05-16"
"41384380","22020445","0","328918","2014-05-25"
"41384383","22020535","0","328918","2014-05-25"
"41384386","22020559","0","328918","2014-05-25"
"41384392","22020568","0","328918","2014-05-25"
"41386315","21545129","0","328918","2014-05-25"
"41386498","20493550","0","328918","2014-05-25"
"41386516","20493472","0","328918","2014-05-25"
"41481427","22047349","0","328918","2014-05-16"
"41481445","22047367","0","328918","2014-05-16"
"41481559","22047382","0","328918","2014-05-16"
"42071999","22274663","0","328918","2014-06-28"
"42078635","22294328","0","328918","2014-06-29"
"42102725","21818455","328918","338297","2014-06-29"
"42102728","21818383","328918","338297","2014-06-29"
"42102731","21818440","328918","338297","2014-06-29"
"42102734","21818413","328918","338297","2014-06-29"
"42102737","21818440","328918","338297","2014-06-29"
"42102740","21818455","328918","338297","2014-06-29"
"42102743","21819760","328918","338297","2014-06-29"
"42102746","21888790","328918","338297","2014-06-29"
"42107762","22302635","0","327829","2014-07-01"
"42107765","22302638","0","327829","2014-07-01"
"42120242","19607058","0","327829","2014-07-01"
"42120251","20493667","0","327829","2014-07-01"
"42120257","19610760","0","328918","2014-06-27"
"42120260","20513755","0","328918","2014-06-27"
"42120266","19721602","0","328918","2014-06-27"
"42120269","19610778","0","328918","2014-06-27"
"42120272","19610787","0","328918","2014-06-27"
"42120275","20510269","0","328918","2014-06-27"
"42120278","19610796","0","328918","2014-06-27"
"42120281","20456704","0","328918","2014-06-27"
"42120284","19610802","0","328918","2014-06-27"
"42120287","20509942","0","328918","2014-06-27"
"42120290","19610805","0","328918","2014-06-27"
"42120293","19610808","0","328918","2014-06-27"
"42120296","20510275","0","328918","2014-06-27"
"42120299","19610898","0","328918","2014-06-27"
"42120302","20509930","0","328918","2014-06-27"
"42120305","19610907","0","328918","2014-06-27"
"42120308","20486326","0","328918","2014-06-27"
"42120311","19610913","0","328918","2014-06-27"
"42120314","20509927","0","328918","2014-06-27"
"42120317","19610916","0","328918","2014-06-27"
"42120320","20702293","0","328918","2014-06-27"
"42120323","19610922","0","328918","2014-06-27"
"42120326","19692244","0","328918","2014-06-27"
"42120329","20611504","0","328918","2014-06-27"
"42120332","19692250","0","328918","2014-06-27"
"42120335","20512942","0","328918","2014-06-27"
"42120338","19692253","0","328918","2014-06-27"
"42120341","19692256","0","328918","2014-06-27"
"42120347","20565247","0","328918","2014-06-27"
"42120350","19727668","0","328918","2014-06-27"
"42120353","21003830","0","328918","2014-06-27"
"42120356","19727674","0","328918","2014-06-27"
"42120362","20456755","0","328918","2014-06-27"
"42120365","20469037","0","328918","2014-06-27"
"42120368","20469046","0","328918","2014-06-27"
"42120371","20493553","0","328918","2014-06-27"
"42120374","20550889","0","328918","2014-06-27"
"42120377","20493601","0","328918","2014-06-27"
"42120380","20565319","0","328918","2014-06-27"
"42120383","20493625","0","328918","2014-06-27"
"42120386","20510290","0","328918","2014-06-27"
"42120389","20493706","0","328918","2014-06-27"
"42120392","20550916","0","328918","2014-06-27"
"42120395","20493847","0","328918","2014-06-27"
"42120398","20881403","0","328918","2014-06-27"
"42120401","20629108","0","328918","2014-06-27"
"42120404","21819760","338297","328918","2014-06-27"
"42120407","22020433","0","328918","2014-06-27"
"42120410","22166200","0","328918","2014-06-27"
"42120413","22166194","0","328918","2014-06-27"
"42120416","22248044","0","328918","2014-06-27"
"42120419","22189504","0","328918","2014-06-27"
"42120422","22189510","0","328918","2014-06-27"
"42120425","22227118","0","328918","2014-06-27"
"42269123","19698700","0","327829","2014-07-03"
"42311909","20486326","328918","339734","2014-07-15"
"42311912","20512942","328918","339734","2014-07-15"
"42319268","19721602","328918","","2014-07-15"
"42319271","20513755","328918","","2014-07-15"
"42319274","20550889","328918","","2014-07-15"
"42319277","20509927","328918","","2014-07-15"
"42319280","20565247","328918","","2014-07-15"
"42319286","20510290","328918","","2014-07-15"
"42319289","21003830","328918","","2014-07-15"
"42319292","20510269","328918","","2014-07-15"
"42319295","20509942","328918","","2014-07-15"
"42319298","20611504","328918","","2014-07-15"
"42319304","20456704","328918","","2014-07-15"
"42319307","22248044","328918","","2014-07-15"
"42328946","20469037","328918","","2014-07-15"
"42914471","20486326","339734","338297","2014-08-03"
"42914474","20512942","339734","338297","2014-08-03"
"42914477","21888790","338297","328918","2014-08-03"
"42914489","22294328","328918","327829","2014-08-03"
"43108376","22603205","0","327829","2014-08-08"
"43108379","22603208","0","327829","2014-08-14"
"43108382","22603214","0","327829","2014-08-08"
