serial_number,type,manufacture,model,caliper,finish,condition,notes,purchase_date,purchase_cost
E22945,REVOLVER,CIMARRON FIREARMS,THUNDERBALL,.45colt,BLUING,EXCELLENT,,,
KL00027,REVOLVER,CIMARRON FIREARMS,THUNDERBALL,.45colt,BLUING,EXCELLENT,,,
419244,REVOLVER,COLT,POLICE POSITIVE,38special,BLUING,FAIR,,,
95502,REVOLVER,COLT,DA ,38special,BLUING,FAIR,,,
FX3U005832,SEMI-AUTO,FNH,FNX-45,.45acp,BLACK-MAT,EXCELLENT,INCLUDES 3 MAGAZINES,,
GKU0016511,SEMI-AUTO,FNH,FNS-9,9mm,SATIN,EXCELLENT,INCLUDES 3 MAGAZINES,,
GKU0006519,SEMI-AUTO,FNH,FNS-40,0.4,SATIN,EXCELLENT,INCLUDES 3 MAGAZINES,,
FX2U014328,SEMI-AUTO,FNH,FNX-40,0.4,BLACK-MAT,EXCELLENT,INCLUDES 3 MAGAZINES,01/09/13,$585.00
GKU0016639,SEMI-AUTO,FNH,FNS-40,0.4,BLACK-MAT,EXCELLENT,INCLUDES 3 MAGAZINES,,
GKU0014732,SEMI-AUTO,FNH,FNS-9,9mm,SATIN,EXCELLENT,INCLUDES 3 MAGAZINES,,
FX3U003103,SEMI-AUTO,FNH,FNX-45,.45acp,SATIN,EXCELLENT,INCLUDES 3 MAGAZINES,,
AABG267,SEMI-AUTO,GLOCK,17,9mm,BLACK-MAT,EXCELLENT,,,
AAPH500,SEMI-AUTO,GLOCK,42,0.38,BLACK-MAT,EXCELLENT,INCLUDES 2 MAGAZINES,,
RVX640,SEMI-AUTO,GLOCK,23,0.4,BLACK-MAT,EXCELLENT,IN MY TRUCK,,
219-00966,SEMI-AUTO,RUGER,MARK II TARGET,.22lr,BLUING,EXCELLENT,,,
511-31194,REVOLVER,RUGER,NEW VAQUERO,.45colt,STAINLESS,EXCELLENT,,,
511-31193,REVOLVER,RUGER,NEW VAQUERO,.45colt,STAINLESS,EXCELLENT,,,
572-14301,REVOLVER,RUGER,SP101,0.357,STAINLESS,EXCELLENT,MARIES CAR,,
EBX3086,SEMI-AUTO,SMITH & WESSON,BG 380,0.38,BLACK-MAT,EXCELLENT,IN MY TRUCK,,
DAR1853642-2,REVOLVER,SMITH & WESSON,AIRWIGHT,38special,SATIN,EXCELLENT,HAMMERLESS,,
EBP7454,SEMI-AUTO,SMITH & WESSON,BG 380,0.38,BLACK-MAT,EXCELLENT,MARIES CAR,,
14-16138,REVOLVER,CHARTER ARMS,THE LAVENDER LADY,38special,SATIN,EXCELLENT,,,
271-25718,SEMI-AUTO,RUGER,MARK III TARGET,.22lr,STAINLESS,EXCELLENT,,,
xxx,SEMI-AUTO,FNH,FNS-9,9mm,BLACK-MAT,EXCELLENT,Sandys,,
CW922149,REVOLVER,TAURUS,THE JUDGE,.45colt,STAINLESS,EXCELLENT,Sandys,,
CSU0012792,SEMI-AUTO,FNH,FNS-9C,9mm,BLACK-MAT,EXCELLENT,INCLUDES 3 MAGAZINES,04/28/15,$429.95
YE81953,REVOLVER,TAURUS,,.22LR,SATIN,EXCELLENT,,,
