"id","animal_id","check_date","check_method","result","ultrasound_sex","time_pregnant","expected_due_date","comments","created_at","updated_at"
"3287635","19692244","2013-11-16","Palpation","Pregnant","","8","2013-12-26","","2013-11-18 09:16:28 -0600","2013-11-18 09:16:56 -0600"
"3751702","21819892","2014-05-16","Blood","Pregnant","","","","","2014-05-20 15:36:39 -0500","2014-05-20 15:36:39 -0500"
"3751705","21819877","2014-05-16","Blood","Pregnant","","","","","2014-05-20 15:36:39 -0500","2014-05-20 15:36:39 -0500"
"3751708","21819886","2014-05-16","Blood","Pregnant","","","","","2014-05-20 15:36:39 -0500","2014-05-20 15:36:39 -0500"
"3751711","21819760","2014-05-16","Blood","Open","","","","","2014-05-20 15:36:39 -0500","2014-05-20 15:36:39 -0500"
"3751714","21819781","2014-05-16","Blood","Pregnant","","","","","2014-05-20 15:36:39 -0500","2014-05-20 15:36:39 -0500"
"3751717","21819703","2014-05-16","Blood","Pregnant","","","","","2014-05-20 15:36:39 -0500","2014-05-20 15:36:39 -0500"
"3751720","21819835","2014-05-16","Blood","Pregnant","","","","","2014-05-20 15:36:39 -0500","2015-01-15 16:43:39 -0600"
"3751723","21819736","2014-05-16","Blood","Pregnant","","","","","2014-05-20 15:36:39 -0500","2014-05-20 15:36:39 -0500"
"3751729","21818383","2014-05-16","Blood","Pregnant","","","","","2014-05-20 15:37:48 -0500","2014-05-20 15:37:48 -0500"
"3751732","21818413","2014-05-16","Blood","Pregnant","","","","","2014-05-20 15:37:48 -0500","2014-05-20 15:37:48 -0500"
"3782716","20493706","2014-06-10","Ultrasound","Open","","","","","2014-06-12 21:59:59 -0500","2014-06-12 21:59:59 -0500"
"3792407","20493625","2014-06-24","Observation","Open","","","","Standing heat","2014-06-25 10:16:34 -0500","2014-06-25 10:16:34 -0500"
"3793856","20469046","2014-06-25","Observation","Open","","","","","2014-06-26 06:29:49 -0500","2014-06-26 06:29:49 -0500"
"3799025","19610913","2014-07-01","Ultrasound","Open","","","","","2014-07-01 12:06:54 -0500","2014-07-01 12:06:54 -0500"
"3799028","21819781","2014-07-01","Ultrasound","Pregnant","Bull","70","2015-02-01","","2014-07-01 12:08:25 -0500","2014-07-01 12:08:25 -0500"
"3799034","21819886","2014-07-01","Ultrasound","Pregnant","","60","2015-02-11","","2014-07-01 12:09:30 -0500","2014-07-01 12:09:30 -0500"
"3799037","21819760","2014-07-01","Ultrasound","Open","","","","","2014-07-01 12:09:57 -0500","2014-07-01 12:09:57 -0500"
"3799046","21819703","2014-07-01","Ultrasound","Pregnant","Heifer","65","2015-02-06","","2014-07-01 12:11:09 -0500","2014-07-01 12:11:09 -0500"
"3799049","22047349","2014-07-01","Ultrasound","Pregnant","","4","2014-12-11","","2014-07-01 12:12:20 -0500","2014-07-01 12:12:20 -0500"
"3799055","20493550","2014-07-01","Ultrasound","Pregnant","","65","2015-02-06","","2014-07-01 12:13:28 -0500","2014-07-01 12:13:28 -0500"
"3799067","21819736","2014-07-01","Ultrasound","Pregnant","Bull","55","2015-02-16","","2014-07-01 12:14:30 -0500","2014-07-01 12:14:30 -0500"
"3799070","21819877","2014-07-01","Ultrasound","Pregnant","Heifer","55","2015-02-16","","2014-07-01 12:15:19 -0500","2014-07-01 12:15:19 -0500"
"3799088","21819892","2014-07-01","Ultrasound","Pregnant","Heifer","65","2015-02-06","","2014-07-01 12:15:47 -0500","2014-07-01 12:15:47 -0500"
"3799091","21819835","2014-07-01","Ultrasound","Pregnant","Bull","60","2015-02-15","","2014-07-01 12:16:19 -0500","2015-01-15 16:44:22 -0600"
"3799094","20493472","2014-07-01","Ultrasound","Pregnant","","65","2015-02-06","","2014-07-01 12:17:14 -0500","2014-07-01 12:17:14 -0500"
"3799097","20493667","2014-07-01","Ultrasound","Open","","","","","2014-07-01 12:17:47 -0500","2014-07-01 12:17:47 -0500"
"3810935","19692256","2014-07-15","Observation","Recheck","","","","Bull mounted several times","2014-07-15 11:18:16 -0500","2014-07-17 17:58:19 -0500"
"3813221","22020445","2014-07-15","Observation","Recheck","","","","Saw 1white bull mount need to recheck for pregnancy","2014-07-17 17:52:42 -0500","2014-07-17 17:55:25 -0500"
"3813236","19610922","2014-06-26","Observation","Open","","","","Standing Heat","2014-07-17 19:24:23 -0500","2014-07-17 19:24:56 -0500"
"3896516","20629108","2014-09-11","Ultrasound","Open","","","","Right CL","2014-09-11 21:13:31 -0500","2014-09-11 21:13:31 -0500"
"3896519","22020568","2014-09-11","Ultrasound","Pregnant","","40","2015-05-14","","2014-09-11 21:15:28 -0500","2014-09-11 21:15:28 -0500"
"3896582","19610907","2014-09-11","Ultrasound","Pregnant","","75","2015-04-09","","2014-09-11 21:30:30 -0500","2014-09-11 21:30:30 -0500"
"3896585","19727674","2014-09-11","Ultrasound","Pregnant","","3","2015-03-23","","2014-09-11 21:32:18 -0500","2014-09-11 21:32:18 -0500"
"3896588","19692256","2014-09-11","Ultrasound","Open","","","","","2014-09-11 21:34:20 -0500","2014-09-11 21:34:20 -0500"
"3896591","22189504","2014-09-11","Ultrasound","Pregnant","","55","2015-04-29","","2014-09-11 21:36:33 -0500","2014-09-11 21:36:33 -0500"
"3896594","20456755","2014-09-11","Ultrasound","Pregnant","","60","2015-04-24","","2014-09-11 21:38:37 -0500","2014-09-11 21:38:37 -0500"
"3896597","19692250","2014-09-11","Ultrasound","Open","","","","Sell","2014-09-11 21:39:50 -0500","2014-09-11 21:39:50 -0500"
"3896600","22020445","2014-09-11","Ultrasound","Pregnant","","60","2015-04-24","","2014-09-11 21:42:40 -0500","2014-09-11 21:42:40 -0500"
"3896606","19692253","2014-09-11","Ultrasound","Pregnant","","8","2014-10-23","","2014-09-11 21:44:48 -0500","2014-09-11 21:44:48 -0500"
"3896609","19610898","2014-09-11","Palpation","Pregnant","","3","2015-03-23","","2014-09-11 21:46:34 -0500","2014-09-11 21:46:34 -0500"
"3896612","21818383","2014-09-11","Ultrasound","Pregnant","","170","2015-01-04","","2014-09-11 21:49:41 -0500","2014-09-13 06:13:41 -0500"
"3896615","22047382","2014-09-11","Ultrasound","Pregnant","","50","2015-05-04","","2014-09-11 21:50:58 -0500","2014-09-11 21:50:58 -0500"
"3896618","22189510","2014-09-11","Ultrasound","Open","","","","","2014-09-11 21:51:28 -0500","2014-10-02 06:56:27 -0500"
"3896621","22020559","2014-09-11","Ultrasound","Pregnant","","55","2015-04-29","","2014-09-11 21:52:16 -0500","2014-09-11 21:52:16 -0500"
"3896624","21818413","2014-09-11","Ultrasound","Open","","","","","2014-09-11 21:54:59 -0500","2014-09-11 21:54:59 -0500"
"3896627","19727668","2014-09-11","Ultrasound","Open","","","","","2014-09-11 21:56:55 -0500","2015-01-24 10:05:57 -0600"
"3896630","19610805","2014-09-11","Ultrasound","Pregnant","","55","2015-04-29","","2014-09-11 21:57:49 -0500","2014-09-11 21:57:49 -0500"
"3896633","20493847","2014-09-11","Ultrasound","Pregnant","","3","2015-03-23","","2014-09-11 21:58:48 -0500","2014-09-11 21:58:48 -0500"
"3896636","22166194","2014-09-11","Ultrasound","Pregnant","","60","2015-04-24","","2014-09-11 21:59:43 -0500","2014-09-11 21:59:43 -0500"
"3896639","22274663","2014-09-11","Ultrasound","Open","","","","","2014-09-11 22:00:15 -0500","2014-09-11 22:00:15 -0500"
"3896642","20469046","2014-09-11","Ultrasound","Pregnant","","55","2015-04-29","","2014-09-11 22:00:50 -0500","2014-09-11 22:00:50 -0500"
"3896648","22047367","2014-09-11","Ultrasound","Pregnant","","65","2015-04-19","","2014-09-11 22:02:49 -0500","2014-09-11 22:02:49 -0500"
"3896651","20493625","2014-09-11","Ultrasound","Pregnant","","60","2015-04-24","","2014-09-11 22:03:29 -0500","2014-09-11 22:03:29 -0500"
"3896654","19692244","2014-09-11","Ultrasound","Open","","","","","2014-09-11 22:04:17 -0500","2014-09-11 22:04:17 -0500"
"3896657","19610760","2014-09-11","Ultrasound","Pregnant","","60","2015-04-24","","2014-09-11 22:05:16 -0500","2014-09-11 22:05:16 -0500"
"3896663","20493706","2014-09-11","Ultrasound","Pregnant","","70","2015-04-14","","2014-09-11 22:07:04 -0500","2014-09-11 22:07:04 -0500"
"3896666","21888790","2014-09-11","Ultrasound","Pregnant","","65","2015-04-19","","2014-09-11 22:08:26 -0500","2014-09-11 22:08:26 -0500"
"3896669","22302638","2014-09-11","Ultrasound","Pregnant","","45","2015-05-09","","2014-09-11 22:09:05 -0500","2014-09-11 22:09:05 -0500"
"3896672","20493601","2014-09-11","Ultrasound","Pregnant","","35","2015-05-19","Bull Bred","2014-09-11 22:09:48 -0500","2014-09-11 22:09:48 -0500"
"3896675","20493667","2014-09-11","Ultrasound","Pregnant","","37","2015-05-17","","2014-09-11 22:10:44 -0500","2014-09-11 22:10:44 -0500"
"3896678","19610913","2014-09-11","Ultrasound","Open","","","","","2014-09-11 22:11:19 -0500","2014-09-11 22:11:19 -0500"
"3896681","20493553","2014-09-11","Ultrasound","Pregnant","","51","2015-05-03","","2014-09-11 22:12:14 -0500","2014-09-11 22:12:14 -0500"
"3896684","19610916","2014-09-11","Ultrasound","Open","","","","Cycling","2014-09-11 22:12:49 -0500","2015-01-24 10:07:27 -0600"
"3896687","19610922","2014-09-11","Ultrasound","Pregnant","","55","2015-04-29","bull","2014-09-11 22:13:45 -0500","2014-11-24 22:23:50 -0600"
"3896690","22020535","2014-09-11","Ultrasound","Open","","","","","2014-09-11 22:14:48 -0500","2014-09-11 22:14:48 -0500"
"3896693","20493472","2014-09-11","Ultrasound","Pregnant","","5","2015-01-21","","2014-09-11 22:15:31 -0500","2014-09-11 22:15:31 -0500"
"3896696","19610787","2014-09-11","Ultrasound","Open","","","","cycling","2014-09-11 22:17:01 -0500","2014-09-11 22:17:01 -0500"
"3896699","19610802","2014-09-11","Ultrasound","Pregnant","","93","2015-03-22","","2014-09-11 22:17:31 -0500","2014-09-11 22:17:31 -0500"
"3896702","19610808","2014-09-11","Ultrasound","Pregnant","","93","2015-03-22","","2014-09-11 22:18:17 -0500","2014-09-11 22:18:17 -0500"
"3896705","19610796","2014-09-11","Ultrasound","Pregnant","","75","2015-04-09","","2014-09-11 22:25:07 -0500","2014-09-11 22:25:07 -0500"
"3896708","22020433","2014-09-11","Ultrasound","Pregnant","","75","2015-04-09","","2014-09-11 22:26:30 -0500","2014-09-11 22:26:30 -0500"
