ID	EAR TAG	TYPE	SEX	DOB	BREED
19607058	16-YELLOW	COW	HEIFER	2013	BRAHMAN
19610760	24-YELLOW	COW	HEIFER	2008	BRANGUS F1
19610766	23-YELLOW	COW	HEIFER	2009	BRANGUS F1
19610778	18-YELLOW	COW	HEIFER	2008	BRANGUS F1
19610787	154-YELLOW	COW	HEIFER	2008	BRANGUS F1
19610796	21-YELLOW	COW	HEIFER	2009	BRANGUS F1
19610802	212-YELLOW	COW	HEIFER	2008	BRANGUS F1
19610805	22-YELLOW	COW	HEIFER	2009	BRANGUS F1
19610808	250-YELLOW	COW	HEIFER	2008	BRANGUS F1
19610898	784S4-YELLOW	COW	HEIFER	2006	BRANGUS
19610907	47S1-YELLOW	COW	HEIFER	2006	BRANGUS
19610916	19-YELLOW	COW	HEIFER	2006	BRANGUS
19610922	2Y-YELLOW	COW	HEIFER	2011	BRANGUS
19692253	698Y-YELLOW	COW	HEIFER	2012	BRANGUS
19692262	232	COW	HEIFER		BRANGUS
19727668	50-YELLOW	COW	HEIFER	2005	COMMERCIAL
19727674	31-YELLOW	COW	HEIFER	2010	COMMERCIAL
20456755	167Z-YELLOW	COW	HEIFER	2012	COMMERCIAL
20456758	167B-YELLOW	COW	HEIFER	2014	COMMERCIAL
20469046	7-ORANGE	COW	HEIFER	2012	COMMERCIAL
20486326	5B-YELLOW	COW	HEIFER	2013	BRANGUS
20493472	BLANK-YELLOW	COW	HEIFER	2012	COMMERCIAL
20493550	52-YELLOW	COW	HEIFER	2012	COMMERCIAL
20493601	42Y-YELLOW	COW	HEIFER		BRANGUS
20493625	17-YELLOW	COW	HEIFER	2006	COMMERCIAL
20493667	23Z-YELLOW	COW	HEIFER	2012	BRANGUS
20493706	37-YELLOW	COW	HEIFER	2001	COMMERCIAL
20493847	42-YELLOW	COW	HEIFER	2004	COMMERCIAL
20509930	47S1B-YELLOW	COW	HEIFER	2014	BRANGUS
20510275	8B-YELLOW	COW	HEIFER	2014	BRANGUS
20512942	698A-YELLOW	COW	HEIFER	2013	BRANGUS
20565319	1B-YELLOW	COW	HEIFER	2014	COMMERCIAL
20629108	20-YELLOW	COW	HEIFER	2012	COMMERCIAL
21818383	106Y-WHITE	COW	HEIFER	2011	CHAROLAIS
21818413	126Y-WHITE	COW	HEIFER	2011	CHAROLAIS
21818455	420B-WHITE	COW	HEIFER	2014	CHAROLAIS
21819703	345A-WHITE	COW	HEIFER	2013	CHAROLAIS
21819736	386A-WHITE	COW	HEIFER	2013	CHAROLAIS
21819760	326A-WHITE	COW	HEIFER	2013	CHAROLAIS
21819781	332A-WHITE	COW	HEIFER	2013	CHAROLAIS
21819835	372A-WHITE	COW	HEIFER	2013	CHAROLAIS
21819877	308A-WHITE	COW	HEIFER	2013	CHAROLAIS
21819892	301A-WHITE	COW	HEIFER	2013	CHAROLAIS
21888790	236Z-YELLOW	COW	HEIFER	2012	CHAROLAIS
21905323	LCL 335A	BULL	BULL	2013	CHAROLAIS
22020433	9-ORANGE	COW	HEIFER	2010	COMMERCIAL
22020535	11-ORANGE	COW	HEIFER	2007	COMMERCIAL
22020559	12-ORANGE	COW	HEIFER	2009	COMMERCIAL
22020568	8-YELLOW	COW	HEIFER	2008	COMMERCIAL
22047349	333-YELLOW	COW	HEIFER	2013	COMMERCIAL
22047367	6-ORANGE	COW	HEIFER		COMMERCIAL
22047382	3-ORANGE	COW	HEIFER		COMMERCIAL
22166194	1-ORANGE	COW	HEIFER	2011	COMMERCIAL
22189504	2-ORANGE	COW	HEIFER	2010	COMMERCIAL
22189510	4-ORANGE	COW	HEIFER		COMMERCIAL
22274663	15-ORANGE	COW	HEIFER		COMMERCIAL
22274666	15ORANGE	CALF	HEIFER	2014	COMMERCIAL
22294328	1-WHITE	BULL	BULL	2012	HEREFORD
22302635	16-ORANGE	COW	HEIFER	2013	COMMERCIAL
22302638	17-ORANGE	COW	HEIFER	2013	COMMERCIAL
22603208	10BUTLER-YELLOW	COW	HEIFER	2012	COMMERCIAL
22603220	5-YELLOW	COW	HEIFER	2011	COMMERCIAL
22603223	8-ORANGE	COW	HEIFER	2008	COMMERCIAL
22603226	9-YELLOW	COW	HEIFER	2010	COMMERCIAL
22741778	246Z-WHITE	COW	HEIFER	2012	CHAROLAIS
