ID	EAR TAG	TYPE	SEX	DOB	BREED	PURCHASE YEAR	PURCHASE AMOUNT	SELLER
27330187	330-BLUE	COW	HEIFER	2014	BRANGUS	2015	2100.0	CAPP CATTLE
27330190	8-BLUE	COW	HEIFER	2014	BRANGUS	2015	2100.0	CAPP CATTLE
27330193	334-BLUE	COW	HEIFER	2014	BRANGUS	2015	2100.0	CAPP CATTLE
27330196	1-BLUE	COW	HEIFER	2014	BRANGUS	2015	2100.0	CAPP CATTLE
27330199	333-BLUE	COW	HEIFER	2014	BRANGUS	2015	2100.0	CAPP CATTLE
27330202	383-BLUE	COW	HEIFER	2014	BRANGUS	2015	2100.0	CAPP CATTLE
27330205	328-BLUE	COW	HEIFER	2014	BRANGUS	2015	2100.0	CAPP CATTLE
27330208	336-BLUE	COW	HEIFER	2014	BRANGUS	2015	2100.0	CAPP CATTLE
27330211	47-BLUE	COW	HEIFER	2014	BRANGUS	2015	2100.0	CAPP CATTLE
27330214	369-BLUE	COW	HEIFER	2014	BRANGUS	2015	2100.0	CAPP CATTLE
27330217	344-BLUE	COW	HEIFER	2014	BRANGUS	2015	2100.0	CAPP CATTLE
27330220	370-BLUE	COW	HEIFER	2014	BRANGUS	2015	2100.0	CAPP CATTLE
27330223	378-BLUE	COW	HEIFER	2014	BRANGUS	2015	2100.0	CAPP CATTLE
27330226	1477-BLUE	COW	HEIFER	2014	BRANGUS	2015	2100.0	CAPP CATTLE
27330229	377-BLUE	COW	HEIFER	2014	BRANGUS	2015	2100.0	CAPP CATTLE
27330232	371-BLUE	COW	HEIFER	2014	BRANGUS	2015	2100.0	CAPP CATTLE
28060479	511C-WHITE	CALF	HEIFER	2015	CHAROLAIS	2015	2500.0	CHAR-MAINE RANCHING, LTD
28060482	529C-WHITE	CALF	HEIFER	2015	CHAROLAIS	2015	3000.0	CHAR-MAINE RANCHING, LTD
28060485	524C-WHITE	CALF	HEIFER	2015	CHAROLAIS	2015	2500.0	CHAR-MAINE RANCHING, LTD
28060488	522C-WHITE	CALF	HEIFER	2015	CHAROLAIS	2015	2500.0	CHAR-MAINE RANCHING, LTD
28060491	531C-WHITE	CALF	HEIFER	2015	CHAROLAIS	2015	2500.0	CHAR-MAINE RANCHING, LTD
28060494	517C-WHITE	CALF	HEIFER	2015	CHAROLAIS	2015	3500.0	CHAR-MAINE RANCHING, LTD
28060497	525C-WHITE	CALF	HEIFER	2015	CHAROLAIS	2015	2500.0	CHAR-MAINE RANCHING, LTD
28060500	540C-WHITE	CALF	HEIFER	2015	CHAROLAIS	2015	3000.0	CHAR-MAINE RANCHING, LTD
28060503	510C-WHITE	CALF	HEIFER	2015	CHAROLAIS	2015	4000.0	CHAR-MAINE RANCHING, LTD
28060506	561C-WHITE	CALF	HEIFER	2015	CHAROLAIS	2015	4000.0	CHAR-MAINE RANCHING, LTD
28060509	527C-WHITE	CALF	HEIFER	2015	CHAROLAIS	2015	3000.0	CHAR-MAINE RANCHING, LTD
28060512	185C-WHITE	CALF	HEIFER	2015	CHAROLAIS	2015	3000.0	CHAR-MAINE RANCHING, LTD
28079199	25C-CAN	CALF	BULL	2015	CHAROLAIS	2015	2500.0	CHAR-MAINE RANCHING, LTD
28079202	16C-CAN	CALF	BULL	2015	CHAROLAIS	2015	3000.0	CHAR-MAINE RANCHING, LTD
28079205	28C-CAN	CALF	BULL	2015	CHAROLAIS	2015	2500.0	CHAR-MAINE RANCHING, LTD
28079208	30C-CAN	CALF	BULL	2015	CHAROLAIS	2015	2500.0	CHAR-MAINE RANCHING, LTD
28079214	36C-CAN	CALF	BULL	2015	CHAROLAIS	2015	3000.0	CHAR-MAINE RANCHING, LTD
28079217	37C-CAN	CALF	BULL	2015	CHAROLAIS	2015	3000.0	CHAR-MAINE RANCHING, LTD
28079220	44C-CAN	CALF	BULL	2015	CHAROLAIS	2015	2500.0	CHAR-MAINE RANCHING, LTD
28079223	52C-CAN	CALF	BULL	2015	CHAROLAIS	2015	2500.0	CHAR-MAINE RANCHING, LTD
28079226	53C-CAN	CALF	BULL	2015	CHAROLAIS	2015	2500.0	CHAR-MAINE RANCHING, LTD
28079229	54C-CAN	CALF	BULL	2015	CHAROLAIS	2015	2500.0	CHAR-MAINE RANCHING, LTD
28079232	55C-CAN	CALF	BULL	2015	CHAROLAIS	2015	2500.0	CHAR-MAINE RANCHING, LTD
28165191	5C-CAN	CALF	BULL	2015	CHAROLAIS	2015	3000.0	CHAR-MAINE RANCHING, LTD
