"id","account_id","legacy_id","invoice","sold_to_contact_id","marketing_method","sale_date","gross_total_value","total_marketing_expense","net_total_value","comments","needs_recalculating","last_animals_count","animals_count","created_at","updated_at"
"691040","48210","","95878","1428674","Auction","2014-07-15","15602.1","687.93","14914.17","","false","13","13","2014-07-15 11:23:15 -0500","2014-07-15 18:14:13 -0500"
"704336","48210","","96284","1428674","Auction","2014-08-12","1754.6","76.15","1678.45","Sold Angus Bull","false","1","1","2014-09-04 08:05:56 -0500","2014-09-04 08:12:01 -0500"
"713007","48210","","97257","1428674","Auction","2014-09-30","8480.93","372.06","8108.87","","false","6","6","2014-10-01 19:42:59 -0500","2014-10-02 09:50:54 -0500"
"762785","48210","","98642","1428674","Auction","2014-12-02","12482.01","561.51","11920.5","Mainly culls and 1st heifer calves (i.e., not best quality)","false","10","10","2014-12-02 16:46:50 -0600","2014-12-02 17:21:46 -0600"
"786005","48210","","99514","1428674","Auction","2015-01-27","1870.91","90.73","1780.18","","false","3","3","2015-01-28 14:52:41 -0600","2015-01-28 14:56:18 -0600"
"856423","48210","","102297","1428674","Auction","2015-07-28","2353.74","106.39","2247.35","","false","2","2","2015-07-28 16:08:43 -0500","2015-07-28 16:21:16 -0500"
"870876","48210","","1730313","1712046","Auction","2015-09-02","1134.0","53.43","1080.57","","false","1","1","2015-09-09 10:35:41 -0500","2015-09-09 10:39:39 -0500"
"922701","48210","","","1782288","Private Treaty","2016-01-20","5200.0","0.0","5200.0","Roping Calves - 1st calf heifers","false","13","13","2016-01-20 17:37:36 -0600","2016-01-20 17:37:36 -0600"
"926022","48210","","","1787334","Private Treaty","2016-02-01","2000.0","0.0","2000.0","","false","1","1","2016-02-02 10:06:57 -0600","2016-02-02 10:06:57 -0600"
"948675","48210","","","1782288","Private Treaty","2016-02-16","1275.0","0.0","1275.0","Roping Calves - 1st calf heifers","false","5","5","2016-03-10 06:15:26 -0600","2016-03-10 06:15:26 -0600"
"948678","48210","","105833","1428674","Auction","2016-02-16","874.0","44.97","829.03","1st calf heifers","false","2","2","2016-03-10 06:18:14 -0600","2016-03-10 06:29:28 -0600"
"964401","48210","","276910","1836963","Auction","2016-04-23","3150.2","142.55","3007.65","","false","4","4","2016-04-23 12:10:40 -0500","2016-04-27 14:46:09 -0500"
"966390","48210","","105","1709191","Private Treaty","2016-04-27","3500.0","0.0","3500.0","","false","1","1","2016-04-28 15:18:01 -0500","2016-04-28 15:18:01 -0500"
"972207","48210","","Check 2889","1844472","Private Treaty","2016-05-15","1500.0","0.0","1500.0","Picked up at bull pens","false","1","1","2016-05-15 09:54:06 -0500","2017-01-08 09:25:13 -0600"
"976398","48210","","129991","1849167","Auction","2016-05-23","384.0","20.8","363.2","","false","3","3","2016-05-26 11:50:52 -0500","2016-05-26 11:56:52 -0500"
