"id","animal_id","treatment_date","booster_date","withdrawal_date","category","medication","diagnosis","temperature","administered_by","dosage","route","location","lot_number","serial_number","manufacturer","comments","created_at","updated_at"
"24765289","19607058","2013-10-28","","","","Brucellosis Vaccination","","","Coastal Plains Animal Clinic","","","ULN","","","","","2013-11-16 08:11:10 -0600","2013-11-16 08:11:10 -0600"
"24765292","19607058","2013-10-28","","","","IBR-BVD-BRSV + V/L5","","","Coastal Plains Animal Clinic","","","ULN","","","","","2013-11-16 08:12:04 -0600","2013-11-16 08:12:04 -0600"
"24765295","19607058","2013-10-28","","","","Fosgaard","","","Coastal Plains Animal Clinic","","","ULN","","","","","2013-11-16 08:13:07 -0600","2013-11-16 08:13:07 -0600"
"24765298","19607058","2013-10-28","","","","Ivomec Plus","","","Coastal Plains Animal Clinic","","","ULN","","","","","2013-11-16 08:13:45 -0600","2013-11-16 08:13:45 -0600"
"26379227","19607058","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:17 -0500","2014-03-18 19:17:17 -0500"
"26379230","19721602","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:17 -0500","2014-03-18 19:17:17 -0500"
"26379233","20456704","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:17 -0500","2014-03-18 19:17:17 -0500"
"26379239","20469037","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:17 -0500","2014-03-18 19:17:17 -0500"
"26379242","20486326","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:17 -0500","2014-03-18 19:17:17 -0500"
"26379245","20509927","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:17 -0500","2014-03-18 19:17:17 -0500"
"26379248","20509930","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:17 -0500","2014-03-18 19:17:17 -0500"
"26379251","20509942","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:17 -0500","2014-03-18 19:17:17 -0500"
"26379254","20510269","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:17 -0500","2014-03-18 19:17:17 -0500"
"26379257","20510275","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:17 -0500","2014-03-18 19:17:17 -0500"
"26379260","20510290","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:17 -0500","2014-03-18 19:17:17 -0500"
"26379263","20512942","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:17 -0500","2014-03-18 19:17:17 -0500"
"26379266","20513755","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:17 -0500","2014-03-18 19:17:17 -0500"
"26379269","20550889","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:17 -0500","2014-03-18 19:17:17 -0500"
"26379272","20550916","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:17 -0500","2014-03-18 19:17:17 -0500"
"26379275","20565247","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:17 -0500","2014-03-18 19:17:17 -0500"
"26379278","20565319","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:18 -0500","2014-03-18 19:17:18 -0500"
"26379281","20611504","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:18 -0500","2014-03-18 19:17:18 -0500"
"26379284","20702293","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:18 -0500","2014-03-18 19:17:18 -0500"
"26379287","20881403","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:18 -0500","2014-03-18 19:17:18 -0500"
"26379290","21003830","2014-03-18","","","","Covexin 8","","","","","","","","","","","2014-03-18 19:17:18 -0500","2014-03-18 19:17:18 -0500"
"26379293","19607058","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:45 -0500","2014-03-18 19:17:45 -0500"
"26379296","19721602","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:45 -0500","2014-03-18 19:17:45 -0500"
"26379299","20456704","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:45 -0500","2014-03-18 19:17:45 -0500"
"26379305","20469037","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:45 -0500","2014-03-18 19:17:45 -0500"
"26379308","20486326","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:45 -0500","2014-03-18 19:17:45 -0500"
"26379311","20509927","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:45 -0500","2014-03-18 19:17:45 -0500"
"26379314","20509930","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:45 -0500","2014-03-18 19:17:45 -0500"
"26379317","20509942","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:45 -0500","2014-03-18 19:17:45 -0500"
"26379320","20510269","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:45 -0500","2014-03-18 19:17:45 -0500"
"26379323","20510275","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:45 -0500","2014-03-18 19:17:45 -0500"
"26379326","20510290","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:45 -0500","2014-03-18 19:17:45 -0500"
"26379329","20512942","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:45 -0500","2014-03-18 19:17:45 -0500"
"26379332","20513755","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:46 -0500","2014-03-18 19:17:46 -0500"
"26379335","20550889","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:46 -0500","2014-03-18 19:17:46 -0500"
"26379338","20550916","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:46 -0500","2014-03-18 19:17:46 -0500"
"26379341","20565247","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:46 -0500","2014-03-18 19:17:46 -0500"
"26379344","20565319","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:46 -0500","2014-03-18 19:17:46 -0500"
"26379347","20611504","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:46 -0500","2014-03-18 19:17:46 -0500"
"26379350","20702293","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:46 -0500","2014-03-18 19:17:46 -0500"
"26379353","20881403","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:46 -0500","2014-03-18 19:17:46 -0500"
"26379356","21003830","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:17:46 -0500","2014-03-18 19:17:46 -0500"
"26379359","19610760","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379365","19610778","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379368","19610787","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379371","19610796","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379374","19610802","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379377","19610805","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379380","19610808","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379383","19610898","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379386","19610907","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379389","19610913","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379392","19610916","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379395","19610922","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379398","19692244","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379401","19692250","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379404","19692253","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379407","19692256","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379413","19727668","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379416","19727674","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379419","20456755","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379422","20469046","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379425","20493472","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379428","20493550","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379431","20493553","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379434","20493601","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379437","20493625","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379440","20493667","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379443","20493706","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379446","20493847","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379449","20629108","2014-03-18","","","","Ivomec Plus","","","","","","","","","","","2014-03-18 19:18:17 -0500","2014-03-18 19:18:17 -0500"
"26379452","19610760","2014-03-18","","","","Bar-Vac 8","","","","","","","","","","","2014-03-18 19:19:18 -0500","2014-03-18 19:19:18 -0500"
"26379458","19610778","2014-03-18","","","","Bar-Vac 8","","","","","","","","","","","2014-03-18 19:19:18 -0500","2014-03-18 19:19:18 -0500"
"26379461","19610787","2014-03-18","","","","Bar-Vac 8","","","","","","","","","","","2014-03-18 19:19:18 -0500","2014-03-18 19:19:18 -0500"
"26379464","19610796","2014-03-18","","","","Bar-Vac 8","","","","","","","","","","","2014-03-18 19:19:18 -0500","2014-03-18 19:19:18 -0500"
